date,value
2026-03-18,0.934574
2026-03-19,0.929352
2026-03-23,0.911557
2026-03-24,0.917006
2026-03-25,0.934976
2026-03-26,0.926078
2026-03-29,0.924417
2026-03-30,0.909157
2026-03-31,0.92118
2026-04-01,0.928562
2026-04-06,0.920828
2026-04-07,0.922406
2026-04-08,0.942716
2026-04-12,0.943917
2026-04-13,0.937136
2026-04-14,0.930895
2026-04-15,0.938479
2026-04-16,0.93881
2026-04-19,0.92901
2026-04-20,0.931489
2026-04-21,0.931866
2026-04-22,0.927438
2026-04-23,0.926985
2026-04-26,0.920898
2026-04-27,0.914477
2026-04-28,0.909319
2026-04-29,0.916488
2026-05-03,0.905405
2026-05-04,0.921555
2026-05-05,0.914987
2026-05-06,0.92522
2026-05-07,0.935163
2026-05-10,0.924227
2026-05-11,0.927994
2026-05-12,0.926886
2026-05-14,0.935655
2026-05-15,0.929944
2026-05-19,0.918242
2026-05-20,0.91797
2026-05-21,0.921998
2026-05-24,0.92822
2026-05-25,0.935296
2026-05-26,0.928717
2026-05-28,0.913612
2026-05-29,0.899984
2026-06-01,0.904572
2026-06-02,0.921893
2026-06-03,0.92967
2026-06-04,0.923442
2026-06-18,0.960944
2026-06-22,0.942492
2026-06-23,0.956512
