date,value
2026-03-19,1.395816
2026-03-23,1.390966
2026-03-24,1.389298
2026-03-25,1.392451
2026-03-26,1.394971
2026-03-27,1.394725
2026-03-30,1.394609
2026-03-31,1.395821
2026-04-01,1.401149
2026-04-06,1.401631
2026-04-07,1.402646
2026-04-08,1.408307
2026-04-10,1.407726
2026-04-13,1.40712
2026-04-14,1.409153
2026-04-15,1.40847
2026-04-16,1.40904
2026-04-17,1.408973
2026-04-20,1.411266
2026-04-21,1.410546
2026-04-22,1.410858
2026-04-23,1.409763
2026-04-24,1.404967
2026-04-27,1.403274
2026-04-28,1.399698
2026-04-29,1.398499
2026-04-30,1.396011
2026-05-04,1.396404
2026-05-05,1.387922
2026-05-06,1.384761
2026-05-07,1.39353
2026-05-08,1.395092
2026-05-11,1.392404
2026-05-12,1.388637
2026-05-13,1.383706
2026-05-15,1.380521
2026-05-18,1.379568
2026-05-19,1.37961
2026-05-20,1.37957
2026-05-21,1.381268
2026-05-22,1.381688
2026-05-25,1.382382
2026-05-28,1.384323
2026-05-29,1.387157
2026-06-01,1.388536
2026-06-02,1.389384
2026-06-03,1.389287
2026-06-04,1.388829
2026-06-05,1.3896
2026-06-19,1.410814
2026-06-22,1.410631
2026-06-23,1.408697
2026-06-24,1.408637
2026-06-25,1.410733
2026-06-26,1.410546
2026-06-29,1.410919
2026-06-30,1.410212
2026-07-01,1.408479
2026-07-02,1.409034
2026-07-03,1.40948
2026-07-06,1.410396
2026-07-07,1.410919
2026-07-08,1.409551
2026-07-09,1.404151
2026-07-10,1.407362
2026-07-13,1.405057
2026-07-14,1.4021
2026-07-15,1.404396
2026-07-16,1.404521
2026-07-17,1.403742
2026-07-20,1.401288
2026-07-21,1.401209
2026-07-22,1.400471
2026-07-23,1.399275
2026-07-24,1.3972
