date,value
2026-05-14,1.0239
2026-05-15,1.0228
2026-05-18,1.0242
2026-05-19,1.0222
2026-05-20,1.0212
2026-05-21,1.0246
2026-05-22,1.0296
2026-05-25,1.0297
2026-05-26,1.0338
2026-05-28,1.0317
2026-05-29,1.0361
2026-06-01,1.0358
2026-06-02,1.0369
2026-06-03,1.0355
2026-06-04,1.0361
2026-06-18,1.0289
2026-06-19,1.0289
2026-06-22,1.0307
2026-06-23,1.0306
2026-06-24,1.024
2026-06-25,1.0236
2026-06-26,1.0223
2026-06-29,1.0259
2026-06-30,1.0276
2026-07-01,1.0283
2026-07-02,1.0338
2026-07-03,1.0338
2026-07-06,1.0353
2026-07-07,1.0369
2026-07-08,1.0317
2026-07-09,1.0289
2026-07-10,1.0324
2026-07-13,1.0325
2026-07-14,1.0311
2026-07-15,1.0333
2026-07-16,1.0327
2026-07-17,1.0308
2026-07-20,1.0291
2026-07-21,1.0284
2026-07-22,1.03
2026-07-23,1.0248
2026-07-24,1.0238
2026-07-27,1.0292
2026-07-28,1.0281
2026-07-29,1.0286
2026-07-30,1.0288
2026-07-31,1.0319
