date,value
2026-03-18,2.140678
2026-03-19,2.129408
2026-03-23,2.105595
2026-03-24,2.110666
2026-03-25,2.130871
2026-03-26,2.127739
2026-03-27,2.130876
2026-03-30,2.111078
2026-03-31,2.131644
2026-04-01,2.142805
2026-04-06,2.136357
2026-04-07,2.139919
2026-04-08,2.171641
2026-04-10,2.171557
2026-04-13,2.162888
2026-04-14,2.157244
2026-04-15,2.168115
2026-04-16,2.166434
2026-04-20,2.160611
2026-04-21,2.162041
2026-04-22,2.156161
2026-04-23,2.148595
2026-04-24,2.138831
2026-04-27,2.130973
2026-04-28,2.12663
2026-04-29,2.138784
2026-04-30,2.121257
2026-05-04,2.139681
2026-05-05,2.112613
2026-05-06,2.120686
2026-05-07,2.138757
2026-05-08,2.132252
2026-05-11,2.135009
2026-05-12,2.130856
2026-05-14,2.135951
2026-05-15,2.125295
2026-05-18,2.117534
2026-05-19,2.1075
2026-05-20,2.108605
2026-05-21,2.115112
2026-05-22,2.12065
2026-05-25,2.13078
2026-05-26,2.117534
2026-05-28,2.102974
2026-05-29,2.088639
2026-06-01,2.096755
2026-06-02,2.121413
2026-06-03,2.134796
2026-06-04,2.125613
2026-06-18,2.1984
2026-06-19,2.194023
2026-06-22,2.165688
2026-06-23,2.182261
2026-06-24,2.14357
2026-06-25,2.160507
2026-06-26,2.160326
2026-06-29,2.171358
2026-06-30,2.156859
2026-07-01,2.159938
2026-07-02,2.165057
2026-07-03,2.170995
2026-07-06,2.177598
2026-07-07,2.185412
2026-07-08,2.18944
