2026-03-19,"124.51* as of Mar 18, 2026"
2026-03-19,"124.51* as of Mar 18, 2026"
2026-03-19,"124.51* as of Mar 18, 2026"
2026-03-23,"122.67* as of Mar 22, 2026"
2026-03-24,"122.96* as of Mar 23, 2026"
2026-03-25,"122.58* as of Mar 24, 2026"
2026-03-26,"124.22* as of Mar 25, 2026"
2026-03-27,"122.00* as of Mar 26, 2026"
2026-03-27,"122.00* as of Mar 26, 2026"
2026-03-27,"122.00* as of Mar 26, 2026"
2026-03-30,"120.03* as of Mar 29, 2026"
2026-03-31,"118.34* as of Mar 30, 2026"
2026-04-01,"120.04* as of Mar 31, 2026"
2026-04-01,"120.04* as of Mar 31, 2026"
2026-04-01,"120.04* as of Mar 31, 2026"
