date,value
2026-05-15,94.569506
2026-05-18,94.031999
2026-05-19,93.356053
2026-05-20,93.275515
2026-05-21,93.609717
2026-05-22,94.376387
2026-05-25,94.998268
2026-05-26,94.19576
2026-05-28,92.576269
2026-05-29,91.214859
2026-06-01,91.699493
2026-06-02,93.44866
2026-06-03,94.174943
2026-06-04,93.60255
2026-06-18,97.295441
2026-06-19,97.030368
2026-06-22,95.509281
2026-06-23,96.958736
2026-06-24,94.768555
2026-06-25,95.969979
2026-06-26,95.983028
2026-06-29,96.815236
2026-06-30,95.40947
2026-07-01,95.909677
2026-07-02,96.716436
2026-07-03,97.745336
2026-07-06,98.270714
2026-07-07,98.582588
2026-07-08,99.066876
2026-07-09,98.219382
2026-07-10,99.075528
2026-07-13,98.577776
2026-07-14,98.435688
2026-07-15,99.234636
2026-07-16,99.547377
2026-07-17,100.67347
2026-07-20,100.86824
2026-07-21,99.538285
2026-07-22,98.589321
2026-07-23,98.859295
2026-07-24,98.828982
2026-07-27,99.382568
2026-07-28,99.04381
2026-07-29,99.768523
2026-07-30,98.930112
2026-07-31,97.849594
