date,value
2026-05-15,106.721705
2026-05-18,106.733412
2026-05-19,106.738169
2026-05-20,106.743737
2026-05-21,106.746834
2026-05-22,106.754634
2026-05-25,106.775314
2026-05-26,106.807113
2026-05-28,106.836643
2026-05-29,106.85876
2026-06-01,106.87522
2026-06-02,106.90333
2026-06-03,106.915448
2026-06-04,106.92378
2026-06-18,107.079045
2026-06-19,107.101758
2026-06-22,107.132446
2026-06-23,107.144015
2026-06-24,107.144007
2026-06-25,107.145599
2026-06-26,107.150459
2026-06-29,107.199883
2026-06-30,107.2143
2026-07-01,107.220245
2026-07-02,107.232056
2026-07-03,107.258741
2026-07-06,107.3014
2026-07-07,107.317378
2026-07-08,107.328724
2026-07-09,107.331161
2026-07-10,107.34104
2026-07-13,107.369082
2026-07-14,107.387339
2026-07-15,107.400455
2026-07-16,107.416175
2026-07-17,107.426353
2026-07-20,107.459864
2026-07-21,107.468375
2026-07-22,107.476513
2026-07-23,107.490897
2026-07-24,107.484168
2026-07-28,107.545985
2026-07-29,107.557775
2026-07-30,107.570129
2026-07-31,107.578955
2026-08-03,107.615485
2026-08-04,107.63215
2026-08-05,107.651493
2026-08-06,107.667407
2026-08-07,107.678383
2026-08-10,107.734654
2026-08-11,107.747091
2026-08-12,107.758749
2026-08-13,107.763752
2026-08-14,107.777516
2026-08-17,107.809424
2026-08-18,107.822159
2026-08-19,107.833634
2026-08-20,107.840616
2026-08-24,107.87917
2026-08-25,107.895068
2026-08-26,107.8966
2026-08-27,107.902917
2026-08-28,107.911597
2026-09-01,107.94038
2026-09-02,107.954165
2026-09-03,107.963449
