date,value
2026-05-29,100.0
2026-06-01,99.753055
2026-06-02,101.245582
2026-06-03,100.629483
2026-06-04,100.119083
2026-06-18,97.27865
2026-06-19,95.619494
2026-06-22,94.865316
2026-06-23,94.630787
2026-06-24,93.609048
2026-06-25,92.11221
2026-06-26,91.523464
2026-06-29,91.269885
2026-06-30,90.788886
2026-07-01,89.925894
2026-07-02,90.06296
2026-07-03,91.602787
2026-07-06,92.426759
2026-07-07,92.316709
2026-07-08,91.968123
2026-07-09,90.908887
2026-07-10,91.952271
2026-07-13,91.429749
2026-07-14,91.691345
2026-07-15,91.666956
2026-07-16,93.098972
2026-07-17,93.128213
2026-07-20,94.735136
2026-07-21,97.312376
2026-07-22,98.240441
2026-07-23,97.886225
2026-07-24,97.563545
2026-07-27,98.330907
2026-07-28,98.846593
2026-07-29,99.11159
2026-07-30,99.093175
2026-07-31,101.089098
2026-08-03,101.180137
2026-08-04,101.070893
2026-08-05,102.263245
2026-08-06,102.365501
2026-08-07,102.564244
2026-08-10,103.021555
2026-08-11,103.917602
2026-08-12,103.412577
2026-08-13,103.040536
2026-08-14,102.158554
2026-08-17,103.800111
2026-08-18,105.489145
2026-08-19,104.072685
2026-08-20,106.361698
2026-08-24,106.879014
